spatial_id,scene_id,split,climate,landcover,s1_timestamp_ms,s2_timestamp_ms,utm_epsg,month,min_lon,min_lat,max_lon,max_lat
720,1868,train,"Cs - Temperate, dry summer",Ice/Snow,1577489275000,1577457752727,EPSG:32719,12,-70.41766941105496,-34.6509501024817,-70.19678194300914,-34.46821038082358
576,1498,train,"Cw - Temperate, dry winter",Cropland,1601860036000,1601878184977,EPSG:32643,10,72.28825977983655,33.87029117825484,72.51011287014968,34.05514882364475
340,1042,train,"Cs - Temperate, dry summer",Built up,1582353221000,1582371590861,EPSG:32629,2,-8.425952182477765,41.351436281131676,-8.18451213746342,41.53310978422038
363,906,train,ET - Tundra,Built up,1536730996000,1536748388022,EPSG:32632,9,6.724249816765044,46.37631307207825,6.991758933197827,46.561148009497344
207,1230,train,ET - Tundra,Shrubs,1535565271000,1535540081616,EPSG:32630,8,-0.561281307587653,42.417979667174436,-0.310589687326974,42.60345308513507
872,2240,train,"Af - Tropical, rainforest",Wetlands,1601502157000,1601519294385,EPSG:32750,10,119.23733533384068,-1.367805675434348,119.41721814744325,-1.186756515068901
362,544,train,"Cs - Temperate, dry summer",Built up,1604770098000,1604745064159,EPSG:32632,11,7.28459904532305,35.7131194568032,7.509610547304477,35.89641541348399
822,552,train,"Df(c|d) - Cold, no dry season",Wetlands,1592771211000,1592790531024,EPSG:32656,6,151.06738043302968,65.319911332733,151.50987387497744,65.50423923200013
255,2121,train,"Am - Tropical, monsoon",Shrubs,1594596848000,1594568150729,EPSG:32718,7,-77.78294940873086,-9.30552799529251,-77.59962183063637,-9.123378157423888
267,1821,train,"Cf - Temperate, no dry season",Shrubs,1604136274000,1604154191205,EPSG:32720,10,-63.93606010607493,-37.897958741482555,-63.706768834518826,-37.71603893187326
81,1001,train,"Cw - Temperate, dry winter",Forest,1556102640000,1556077170000,EPSG:32649,4,108.1888377967973,30.684428224805735,108.40277047938865,30.869145997730065
1096,1178,train,BS - Arid Steppe,Bare/Moss/Lichen,1554905943000,1554880799000,EPSG:32640,4,54.05156033820827,34.3010810647896,54.27506884511369,34.48636049648078
714,1917,train,"Cw - Temperate, dry winter",Ice/Snow,1607470666000,1607488200729,EPSG:32647,12,95.93661004428502,29.862709874137185,96.14905195039363,30.047703585380056
59,2126,train,"Ds - Cold, dry summer",Forest,1515553737000,1515571444792,EPSG:32638,1,43.10676548319628,37.27092981588765,43.33688180222662,37.454606293897456
417,195,train,"Am - Tropical, monsoon",Built up,1571571463000,1571544840195,EPSG:32647,10,97.56575415486077,15.918260519211438,97.75394196359707,16.10027580767261
440,2257,train,"Dw - Cold, dry winter",Built up,1581933945000,1581909400478,EPSG:32650,2,116.47840277055072,39.96344914132519,116.7140657295795,40.14454599387374
909,2118,train,ET - Tundra,Grassland,1578592529000,1578568147519,EPSG:32630,1,-0.490756778390804,43.02415677437778,-0.237322264973876,43.20981715047771
373,1398,train,"Df(a|b) - Cold, no dry season",Built up,1539360225000,1539337443000,EPSG:32635,10,26.082370745505855,55.64384516801501,26.404480079798372,55.82558644905824
705,643,train,"Dw - Cold, dry winter",Ice/Snow,1603973220000,1603947593984,EPSG:32645,10,87.38437191736071,32.141266410889024,87.59771758833865,32.322604292544156
1077,2108,train,ET - Tundra,Bare/Moss/Lichen,1586819158000,1586799875879,EPSG:32617,4,-83.68863174308744,67.78113663745461,-83.19420419847572,67.96753109421856
593,2075,train,"Aw - Tropical, savannah",Cropland,1574595935000,1574568812615,EPSG:32646,11,95.6780501933625,17.277148824554978,95.86890908068737,17.460422954531627
432,1044,train,"Cw - Temperate, dry winter",Built up,1604832105000,1604805714219,EPSG:32649,11,111.64807350336628,22.011326966248397,111.84300236489027,22.192975759545128
360,1394,train,"Cf - Temperate, no dry season",Built up,1567230617000,1567248396458,EPSG:32632,8,6.474558525316743,51.7502061276495,6.774237342720073,51.93582799752467
